#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
634,Rafer Alston,671,19389,6799,2450,6391,38.3,996,2815,35.4,903,1238,72.9,247,1644,1891,3202,813,105,1195,46.1,49
635,Stu Lantz,547,15267,6782,2469,5674,43.5,-,-,-,1844,2266,81.4,150,256,1820,1566,121,18,-,43.5,50.8
636,Willie Anderson,555,15972,6771,2804,5952,47.1,99,372,26.6,1064,1353,78.6,550,1532,2082,2105,594,342,1163,47.9,51.7
637,Dee Brown,608,16844,6758,2540,5822,43.6,605,1697,35.7,1073,1300,82.5,319,1250,1569,2227,800,205,905,48.8,52.8
638,Shawn Bradley,832,19531,6752,2713,5935,45.7,4,39,10.3,1322,1847,71.6,1743,3525,5268,573,532,2119,1059,45.7,50
639,Voshon Lenard,565,15345,6745,2444,5892,41.5,936,2437,38.4,921,1171,78.7,347,1262,1609,1180,424,131,748,49.4,52.6
640,Jack Coleman,633,16479,6721,2813,6763,41.6,-,-,-,1095,1575,69.5,-,-,5186,1749,-,-,-,41.6,45.1
641,Avery Bradley,571,16143,6712,2702,6195,43.6,744,2042,36.4,564,723,78,358,1312,1670,1012,581,116,802,49.6,51.5
642,Jordan Clarkson,453,12233,6699,2572,5766,44.6,674,1973,34.2,881,1077,81.8,387,1037,1424,1164,388,62,754,50.5,53.7
643,Allen Leavell,700,16248,6684,2549,5666,45,141,603,23.4,1445,1733,83.4,294,870,1164,3339,929,120,1324,46.2,52
644,Dennis Rodman,911,28842,6683,2766,5310,52.1,82,355,23.1,1069,1832,58.4,4329,7625,11954,1600,611,531,1484,52.9,54.6
645,Tom Hawkins,764,18465,6672,2761,6171,44.7,-,-,-,1150,2016,57,-,-,4607,871,-,-,-,44.7,47.3
646,Bryon Russell,841,19806,6663,2274,5272,43.1,685,1856,36.9,1430,1906,75,752,2162,2914,1085,874,203,835,49.6,54.5
647,Tony Allen,820,18053,6654,2588,5447,47.5,125,444,28.2,1353,1909,70.9,1021,1863,2884,1077,1158,337,1118,48.7,52.9
648,Scott Skiles,600,16789,6652,2290,5259,43.5,524,1381,37.9,1548,1741,88.9,275,1251,1526,3881,500,29,1497,48.5,55.2
649,Bimbo Coles,852,20317,6628,2549,5991,42.5,252,943,26.7,1278,1576,81.1,469,1351,1820,3313,735,134,1267,44.7,49.6
650,Jared Dudley,892,20037,6627,2406,5188,46.4,881,2241,39.3,934,1276,73.2,801,2027,2828,1390,709,166,761,54.9,57.6
651,Antonio Daniels,872,19673,6623,2270,5109,44.4,359,1154,31.1,1724,2173,79.3,219,1394,1613,2934,564,85,928,47.9,54.6
652,Roy Hibbert,662,16389,6611,2622,5641,46.5,6,24,25,1361,1802,75.5,1527,2646,4173,885,241,1146,1038,46.5,51.4
653,Kevin Edwards,604,15330,6596,2650,6259,42.3,176,525,33.5,1120,1395,80.3,516,1137,1653,1609,825,197,1138,43.7,48
654,Bob Davies,462,8617,6594,2292,6067,37.8,-,-,-,2010,2647,75.9,-,-,980,2250,-,-,-,37.8,45.6
655,Caldwell Jones,"1,068",26474,6589,2554,5395,47.3,2,31,6.5,1479,1965,75.3,2042,5621,7663,1347,480,1517,1596,47.4,52.6
656,Brandon Bass,758,16410,6575,2558,5125,49.9,12,58,20.7,1447,1740,83.2,1139,2309,3448,608,295,479,718,50,55.8
657,Bojan Bogdanovic,462,13173,6570,2305,5008,46,872,2215,39.4,1088,1268,85.8,225,1382,1607,689,255,37,723,54.7,59
658,Brian Shaw,943,21668,6547,2589,6419,40.3,431,1416,30.4,938,1199,78.2,773,2410,3183,3918,747,252,1664,43.7,47.1
659,Pat Cummings,683,14516,6529,2734,5506,49.7,0,16,0,1061,1440,73.7,1166,2659,3825,807,360,171,1152,49.7,53.2
660,Udonis Haslem,858,21566,6523,2643,5400,48.9,5,58,8.6,1232,1631,75.5,1607,4147,5754,729,422,249,804,49,53.3
661,Terry Catledge,515,13541,6520,2576,5311,48.5,3,32,9.4,1365,2087,65.4,1479,1835,3314,459,285,99,886,48.5,52.3
662,Mel Counts,789,13723,6516,2665,6122,43.5,-,-,-,1186,1552,76.4,185,502,4756,1100,85,74,-,43.5,47.9
663,Doug West,676,16654,6477,2631,5473,48.1,37,194,19.1,1178,1470,80.1,532,1138,1670,1292,459,189,823,48.4,52.9
664,Albert King,534,12836,6470,2709,5875,46.1,56,209,26.8,996,1259,79.1,760,1502,2262,1171,452,196,1151,46.6,50.3
665,Danny Ferry,917,18132,6439,2505,5615,44.6,677,1724,39.3,752,895,84,647,1903,2550,1185,384,292,811,50.6,53.6
666,Gerald Green,658,13026,6412,2312,5546,41.7,962,2668,36.1,826,1010,81.8,318,1321,1639,596,335,199,721,50.4,53.5
667,Darrell Walker,720,18601,6389,2469,5682,43.5,6,102,5.9,1445,2027,71.3,1057,2077,3134,3276,1090,225,1461,43.5,48.6
668,Tim Hardaway Jr.,474,12606,6388,2236,5314,42.1,944,2672,35.3,972,1191,81.6,163,1102,1265,877,297,66,524,51,54.7
669,Andy Phillip,701,15378,6384,2323,6318,36.8,-,-,-,1738,2499,69.5,-,-,2395,3759,-,-,-,36.8,43
670,Ricky Rubio,563,17386,6372,2065,5277,39.1,491,1499,32.8,1751,2082,84.1,376,2020,2396,4387,1053,77,1536,43.8,51.4
671,Red Rocha,586,10507,6362,2276,6158,37,-,-,-,1810,2385,75.9,-,-,2747,1153,-,-,-,37,44.1
672,Chris Mills,568,17281,6357,2391,5541,43.2,439,1251,35.1,1136,1391,81.7,772,2036,2808,1063,421,247,726,47.1,51.7
673,Mike Riordan,639,15890,6334,2773,5894,47,-,-,-,788,1059,74.4,261,617,1830,1524,231,35,-,47,49.8
674,Alvin Attles,711,17826,6328,2499,5545,45.1,-,-,-,1330,2106,63.2,-,-,2463,2483,-,-,-,45.1,48.9
675,Alton Lister,953,18964,6298,2514,4907,51.2,1,9,11.1,1269,2126,59.7,1844,4152,5996,914,351,1473,1450,51.2,53.9
676,Brandon Knight,446,13137,6269,2250,5474,41.1,711,2012,35.3,1058,1313,80.6,236,1141,1377,1769,385,75,1086,47.6,51.8
677,Mario Elie,732,18655,6265,2123,4492,47.3,574,1572,36.5,1445,1692,85.4,520,1497,2017,1875,671,129,960,53.7,59.8
678,Aaron Brooks,645,13439,6259,2261,5478,41.3,820,2218,37,917,1095,83.7,254,825,1079,1925,359,87,1000,48.8,52.5
678,Mark West,"1,090",20215,6259,2528,4356,58,0,4,0,1203,2117,56.8,1785,3562,5347,428,326,1403,1208,58,59.2
680,Ben Wallace,"1,088",32084,6254,2569,5421,47.4,7,51,13.7,1109,2679,41.4,3444,7038,10482,1437,1369,2137,1061,47.5,47.4
681,Herm Gilliam,578,15026,6252,2696,6120,44.1,-,-,-,860,1086,79.2,257,635,2175,2225,369,49,-,44.1,47.4
682,Tree Rollins,"1,156",24028,6249,2592,4963,52.2,0,7,0,1065,1522,70,2148,4602,6750,660,512,2542,1057,52.2,55.5
683,Kentavious Caldwell-Pope,539,15743,6240,2247,5381,41.8,881,2524,34.9,865,1086,79.7,355,1353,1708,878,603,102,537,49.9,53.3
684,Trent Tucker,756,15671,6236,2594,5632,46.1,575,1410,40.8,473,627,75.4,512,1008,1520,1532,679,88,593,51.2,52.8
685,Dwight Jones,766,16452,6230,2459,5216,47.1,1,2,50,1311,1772,74,1456,3057,4513,911,429,397,771,47.2,52
686,John Mengelt,636,12788,6218,2418,5047,47.9,0,6,0,1382,1708,80.9,203,689,1221,1329,324,28,280,47.9,53.6
687,Don Chaney,742,17406,6216,2513,5738,43.8,1,6,16.7,1189,1532,77.6,635,773,2913,1593,492,196,159,43.8,48.5
688,Bill Walton,468,13250,6215,2552,4900,52.1,0,4,0,1111,1683,66,1103,3820,4923,1590,380,1034,865,52.1,55.1
689,Rich Kelley,814,17711,6199,2166,4435,48.8,0,10,0,1867,2384,78.3,1872,3806,5678,2092,694,749,1576,48.8,56.5
690,Lorenzen Wright,778,18538,6191,2556,5573,45.9,2,29,6.9,1077,1670,64.5,1688,3255,4943,622,471,572,877,45.9,49.1
691,Terrence Ross,561,13831,6179,2266,5397,42,1068,2887,37,579,699,82.8,199,1389,1588,617,477,188,508,51.9,54.2
692,Kent Benson,680,15719,6168,2578,5224,49.3,7,34,20.6,1005,1327,75.7,1216,2665,3881,1203,605,586,1069,49.4,53.1
693,Kevin Gamble,649,14509,6154,2562,5106,50.2,228,634,36,802,990,81,370,1087,1457,1300,470,176,587,52.4,55.5
694,Wali Jones,607,14420,6140,2478,6054,40.9,-,-,-,1184,1480,80,0,9,1394,1947,6,0,-,40.9,45.8
695,Danny Green,688,17455,6123,2174,5132,42.4,1283,3205,40,492,610,80.7,411,1983,2394,1088,694,538,703,54.9,56.7
696,Frank Selvy,565,14908,6120,2222,5640,39.4,-,-,-,1676,2302,72.8,-,-,2098,1579,-,-,-,39.4,46
697,Amir Johnson,870,18322,6102,2558,4490,57,107,322,33.2,879,1307,67.3,1723,2969,4692,1073,524,839,932,58.2,60.2
698,Rasual Butler,809,17220,6092,2293,5686,40.3,911,2520,36.2,595,796,74.7,297,1637,1934,658,288,408,528,48.3,50.5
699,Tom Henderson,650,17690,6088,2426,5601,43.3,0,9,0,1236,1673,73.9,384,1110,1494,3136,760,76,693,43.3,48
700,Willie Green,731,14784,6059,2417,5682,42.5,517,1494,34.6,708,925,76.5,242,1061,1303,1018,393,108,705,47.1,49.8
701,Bob Kauffman,525,13568,6049,2306,4835,47.7,-,-,-,1437,1919,74.9,164,344,3682,1429,56,22,-,47.7,53.3
702,Freddie Scolari,534,6573,6014,2132,6651,32.1,-,-,-,1750,2139,81.8,-,-,857,1406,-,-,-,32.1,39.6
703,Bob Weiss,783,17277,5989,2288,5346,42.8,-,-,-,1413,1706,82.8,81,261,1398,2931,287,52,-,42.8,49.1
704,Gerald Henderson,535,13854,5987,2249,5111,44,249,762,32.7,1240,1564,79.3,314,1402,1716,1009,358,183,639,46.4,51.6
705,Johnny Dawkins,541,14859,5984,2361,5175,45.6,180,545,33,1082,1262,85.7,333,1003,1336,2997,618,29,1108,47.4,52.2
706,Ron Brewer,501,12892,5971,2497,5437,45.9,30,121,24.8,947,1149,82.4,335,636,971,920,480,249,706,46.2,50.2
707,Fred Roberts,818,14703,5962,2257,4496,50.2,51,157,32.5,1397,1754,79.6,834,1474,2308,977,412,253,969,50.8,56.6
708,Larry Siegfried,550,13632,5960,2149,5248,40.9,-,-,-,1662,1945,85.4,-,-,1567,1950,-,-,-,40.9,48.8
709,Bryant Stith,586,16416,5946,2021,4767,42.4,306,931,32.9,1598,1900,84.1,605,1378,1983,1178,594,130,776,45.6,53.1
710,Tracy Murray,659,12107,5943,2181,5070,43,753,1942,38.8,828,999,82.9,505,1144,1649,508,361,161,603,50.4,53.9
710,Swen Nater,489,13868,5943,2432,4528,53.7,1,4,25,1078,1419,76,1538,3759,5297,954,258,226,982,53.7,57.7
712,Craig Hodges,695,15077,5940,2363,5130,46.1,563,1408,40,651,786,82.8,306,631,937,1769,553,26,815,51.5,54.2
713,Spencer Hawes,684,15541,5932,2451,5363,45.7,359,1026,35,671,937,71.6,991,2902,3893,1271,264,652,971,49,51.4
714,DeShawn Stevenson,824,18395,5930,2238,5515,40.6,550,1617,34,904,1296,69.8,410,1422,1832,1355,423,134,814,45.6,48.7
715,Quinn Buckner,719,16245,5929,2546,5527,46.1,7,38,18.4,830,1264,65.7,598,1371,1969,3114,1337,80,1382,46.1,48.7
716,Dick McGuire,738,17170,5921,2048,5259,38.9,-,-,-,1825,2836,64.4,-,-,2784,4205,-,-,-,38.9,45.5
717,Eric Piatkowski,789,14611,5919,2044,4711,43.4,865,2168,39.9,966,1152,83.9,508,1208,1716,778,404,115,628,52.6,56.7
718,Todd Day,483,12217,5917,2036,5017,40.6,568,1646,34.5,1277,1727,73.9,578,1071,1649,713,532,291,717,46.2,51.2
719,Tom McMillen,729,14770,5914,2420,5014,48.3,3,23,13,1071,1329,80.6,957,1956,2913,788,198,190,693,48.3,52.8
720,Larry Smith,883,22879,5904,2519,4743,53.1,0,7,0,866,1630,53.1,3401,4724,8125,941,699,457,1280,53.1,54.1
721,Ron Mercer,432,13419,5892,2490,5803,42.9,60,240,25,852,1054,80.8,383,959,1342,921,456,113,683,43.4,47
722,Maurice Taylor,534,13325,5889,2471,5298,46.6,5,33,15.2,942,1324,71.1,791,1661,2452,623,246,259,973,46.7,50.1
723,Cliff Levingston,830,16962,5888,2333,4524,51.6,5,33,15.2,1217,1800,67.6,1772,2535,4307,752,534,593,829,51.6,55.4
724,Joakim Noah,672,18646,5881,2248,4574,49.1,0,16,0,1385,1979,70,2141,3917,6058,1907,534,874,1133,49.1,54
725,Vladimir Radmanovic,737,16164,5879,2148,5177,41.5,971,2567,37.8,612,807,75.8,654,2130,2784,998,537,263,837,50.9,53.1
726,Kenny Thomas,632,17302,5876,2309,4966,46.5,59,242,24.4,1199,1715,69.9,1447,2894,4341,975,527,276,1054,47.1,51.4
727,Aaron McKie,793,19157,5871,2265,5177,43.8,388,1109,35,953,1224,77.9,482,2105,2587,2126,912,164,1059,47.5,51.4
728,Mike James,595,14363,5863,2139,5132,41.7,687,1813,37.9,898,1120,80.2,212,1112,1324,2075,458,38,895,48.4,52.1
729,Patty Mills,671,12982,5861,2111,4901,43.1,1059,2719,38.9,580,681,85.2,211,907,1118,1549,440,53,659,53.9,56.3
730,Connie Simmons,598,7036,5859,2180,6211,35.1,-,-,-,1499,2211,67.8,-,-,2294,940,-,-,-,35.1,40.8
731,M.L. Carr,604,14216,5853,2330,4954,47,33,129,25.6,1160,1555,74.6,918,1677,2595,1112,812,226,867,47.4,51.9
732,Tristan Thompson,619,17373,5839,2344,4524,51.8,9,32,28.1,1142,1871,61,2115,3278,5393,624,317,447,718,51.9,54.6
733,Paul Seymour,622,14667,5836,2039,5826,35,-,-,-,1758,2219,79.2,-,-,1694,2341,-,-,-,35,42.9
734,Lionel Simmons,454,13419,5833,2242,5179,43.3,43,141,30.5,1306,1694,77.1,798,2035,2833,1498,514,361,982,43.7,49.2
735,Nazr Mohammed,"1,005",15891,5827,2402,4939,48.6,0,8,0,1023,1599,64,1808,2900,4708,375,432,639,919,48.6,51.6
736,Jae Crowder,608,15028,5821,2008,4772,42.1,871,2565,34,934,1201,77.8,442,2063,2505,931,593,197,530,51.2,54.9
736,Clifford Ray,784,19940,5821,2333,4450,52.4,0,2,0,1155,1963,58.8,1657,3630,6953,1728,501,638,532,52.4,54.8
738,Darwin Cook,612,14156,5820,2479,5475,45.3,55,280,19.6,807,1056,76.4,424,884,1308,2248,1044,203,1122,45.8,49
739,Theo Ratliff,810,20500,5809,2207,4451,49.6,0,2,0,1395,1965,71,1543,3053,4596,465,393,1968,1001,49.6,54.6
740,John Bagley,665,17120,5802,2359,5398,43.7,114,473,24.1,970,1245,77.9,413,1316,1729,3980,755,54,1512,44.8,48.8
741,Earl Boykins,652,12965,5791,2076,4980,41.7,384,1104,34.8,1255,1433,87.6,275,602,877,2092,390,34,756,45.5,51.6
741,Eric Snow,846,23123,5791,2144,5054,42.4,55,265,20.8,1448,1897,76.3,419,1722,2141,4245,975,105,1391,43,49.2
743,Lucious Harris,800,15704,5784,2194,5151,42.6,402,1155,34.8,994,1258,79,554,1310,1864,1130,556,86,594,46.5,50.7
744,Bob Ferry,634,12828,5780,2225,5142,43.3,-,-,-,1330,2003,66.4,-,-,3343,906,-,-,-,43.3,48
745,Henry Bibby,675,15475,5775,2149,5073,42.4,43,147,29.3,1434,1834,78.2,463,1036,1581,2259,561,34,573,42.8,49.1
746,Steve Hawes,688,15831,5768,2337,4836,48.3,14,47,29.8,1080,1367,79,1232,3040,4272,1288,518,314,821,48.5,53
747,Walter Dukes,553,14671,5765,1912,5175,36.9,-,-,-,1941,2773,70,-,-,6223,608,-,-,-,36.9,45.1
748,Jim Pollard,438,9391,5762,2299,6379,36,-,-,-,1164,1552,75,-,-,2487,1417,-,-,-,36,40.8
749,Darrall Imhoff,801,17874,5759,2299,5016,45.8,-,-,-,1161,1954,59.4,-,-,6099,1405,-,-,-,45.8,49
750,Marcus Thornton,483,11299,5750,2124,5003,42.5,735,2051,35.8,767,924,83,407,941,1348,676,405,61,491,49.8,53.1
751,Mario Chalmers,646,17245,5743,1936,4641,41.7,755,2153,35.1,1116,1407,79.3,211,1374,1585,2412,950,103,1202,49.8,54.6
752,Clyde Lee,742,19885,5733,2256,5223,43.2,-,-,-,1221,1988,61.4,640,1168,7626,788,80,64,-,43.2,47
753,Andray Blatche,564,12462,5706,2327,4981,46.7,52,219,23.7,1000,1380,72.5,1043,1981,3024,798,492,458,914,47.2,51.1
754,Raef LaFrentz,563,14549,5690,2227,4781,46.6,478,1315,36.3,758,1066,71.1,994,2429,3423,606,276,919,511,51.6,54.2
755,J.R. Reid,672,15370,5680,2168,4594,47.2,5,37,13.5,1339,1869,71.6,1004,2377,3381,639,514,264,947,47.2,52.4
756,Steve Blake,870,20821,5662,2061,5145,40.1,1037,2709,38.3,503,646,77.9,250,1566,1816,3446,587,63,1222,50.1,52.1
757,Bob Sura,657,15603,5654,1918,4628,41.4,423,1303,32.5,1395,2024,68.9,586,1654,2240,2474,641,142,1231,46,51.2
758,Eric Williams,658,15729,5642,1865,4490,41.5,219,688,31.8,1693,2301,73.6,704,1435,2139,936,548,103,789,44,51.3
759,Arvydas Sabonis,470,11374,5629,2082,4160,50,136,415,32.8,1329,1690,78.6,734,2702,3436,964,370,494,837,51.7,57.4
760,Hassan Whiteside,410,10937,5623,2346,4029,58.2,8,25,32,923,1519,60.8,1381,3433,4814,280,240,994,663,58.3,59.9
761,Butch Beard,605,14283,5622,2187,4495,48.7,-,-,-,1248,1619,77.1,482,970,2042,2189,499,36,164,48.7,54
762,Len Chappell,591,10596,5621,2212,4898,45.2,-,-,-,1197,1732,69.1,-,-,3113,434,-,-,-,45.2,49.7
763,Otto Moore,682,16893,5616,2336,5152,45.3,-,-,-,944,1550,60.9,504,1539,5575,1060,186,342,-,45.3,48.1
764,Tom Owens,488,11471,5612,2201,4335,50.8,2,8,25,1208,1582,76.4,1067,1943,3010,984,230,259,888,50.8,55.8
765,Dick Garmaker,421,12155,5597,2022,5019,40.3,-,-,-,1553,1974,78.7,-,-,1748,1114,-,-,-,40.3,47.5
766,Phil Ford,482,13503,5594,2128,4560,46.7,25,119,21,1313,1602,82,161,693,854,3083,589,29,1326,46.9,53.1
767,Earl Watson,878,19493,5593,2112,5139,41.1,502,1551,32.4,867,1233,70.3,462,1523,1985,3871,873,176,1548,46,49.2
768,Marreese Speights,705,10640,5592,2181,4750,45.9,232,651,35.6,998,1252,79.7,947,1928,2875,461,189,356,614,48.4,52.7
769,Hubert Davis,685,15144,5583,2108,4600,45.8,728,1651,44.1,639,763,83.7,209,836,1045,1172,297,44,646,53.7,56.6
770,Chandler Parsons,440,13246,5571,2129,4611,46.2,687,1844,37.3,626,878,71.3,356,1616,1972,1201,412,152,657,53.6,55.7
771,Jeremy Lin,480,12218,5567,1885,4349,43.3,449,1313,34.2,1348,1666,80.9,197,1141,1338,2042,519,175,1085,48.5,54.8
772,Sam Bowie,511,14098,5564,2127,4702,45.2,32,106,30.2,1278,1708,74.8,1192,2653,3845,1075,263,909,978,45.6,51
773,John Paxson,772,17257,5560,2403,4812,49.9,273,770,35.5,481,598,80.4,167,739,906,2758,517,44,651,52.8,54.8
774,Al Bianchi,687,13649,5550,2212,5919,37.4,-,-,-,1126,1592,70.7,-,-,1722,1497,-,-,-,37.4,41.9
774,Rudy Gobert,474,13994,5550,2043,3193,64,0,3,0,1464,2321,63.1,1542,3649,5191,646,327,1030,771,64,65.8
776,Louis Orr,569,13353,5545,2125,4539,46.8,3,36,8.3,1292,1642,78.7,903,1214,2117,853,455,163,788,46.8,52.7
777,Carl Landry,513,11524,5541,2086,3898,53.5,9,30,30,1360,1732,78.5,994,1539,2533,355,216,203,603,53.6,59.5
777,Bill Robinzine,529,11432,5541,2185,4533,48.2,2,8,25,1169,1561,74.9,1091,2118,3209,560,563,84,769,48.2,53.1
779,Brendan Haywood,816,18679,5538,2110,3999,52.8,0,4,0,1318,2246,58.7,2081,2794,4875,442,320,1109,851,52.8,55.5
780,Johnny Egan,712,14447,5521,2089,4867,42.9,-,-,-,1343,1668,80.5,-,-,1294,2102,-,-,-,42.9,49.3
781,JaVale McGee,701,12132,5519,2364,4113,57.5,5,33,15.2,786,1328,59.2,1312,2297,3609,277,286,1077,668,57.5,58.7
781,Rasho Nesterovic,811,17983,5519,2570,5121,50.2,1,13,7.7,378,646,58.5,1513,2630,4143,836,330,934,748,50.2,51.1
783,Dion Waiters,419,11835,5505,2106,5110,41.2,575,1660,34.6,718,1034,69.4,166,942,1108,1163,391,113,761,46.8,49.5
784,Greg Anthony,757,15846,5497,1914,4750,40.3,610,1748,34.9,1059,1445,73.3,271,1146,1417,2997,887,79,1043,46.7,51
785,Will Barton,496,12110,5492,2035,4693,43.4,572,1649,34.7,850,1082,78.6,373,1716,2089,1248,371,205,677,49.5,53.1
786,Wayne Ellington,681,14278,5461,1986,4866,40.8,1016,2689,37.8,473,559,84.6,216,1265,1481,755,371,52,456,51.3,53.4
787,Nat Clifton,544,14369,5444,2082,5766,36.1,-,-,-,1280,2021,63.3,-,-,4469,1367,-,-,-,36.1,40.9
788,Joe Meriweather,669,14807,5439,2170,4244,51.1,1,3,33.3,1098,1598,68.7,1285,2479,3764,603,311,810,737,51.1,55
789,Steve Kerr,910,16203,5437,2042,4263,47.9,726,1599,45.4,627,726,86.4,186,874,1060,1658,476,46,504,56.4,59.3
790,Billy Paultz,637,13630,5432,2285,4657,49.1,0,1,0,862,1340,64.3,1008,2545,3553,1043,275,706,672,49.1,51.8
791,Arlen Bockhorn,474,14791,5430,2245,5574,40.3,-,-,-,940,1256,74.8,-,-,2234,1645,-,-,-,40.3,44.3
791,Kenneth Faried,478,11728,5430,2190,4009,54.6,10,45,22.2,1040,1590,65.4,1465,2419,3884,470,351,392,626,54.8,57.7
793,Phil Jackson,807,14201,5428,2076,4583,45.3,0,2,0,1276,1734,73.6,515,1447,3454,898,281,199,134,45.3,50.8
794,Bob Wilkerson,536,14883,5424,2256,5313,42.5,11,66,16.7,901,1199,75.1,587,1649,2236,1835,671,141,1156,42.6,46.4
795,Andres Nocioni,514,12015,5415,1932,4478,43.1,587,1574,37.3,964,1206,79.9,354,1941,2295,614,215,228,724,49.7,54.1
796,Bill Hanzlik,748,15534,5414,1836,4232,43.4,46,216,21.3,1696,2171,78.1,691,1367,2058,2058,727,205,1090,43.9,52.2
797,Jim Cleamons,652,17001,5408,2242,4868,46.1,7,31,22.6,917,1198,76.5,570,1205,1987,2532,533,120,364,46.1,50.1
798,Darnell Valentine,620,14395,5400,1993,4560,43.7,41,157,26.1,1373,1744,78.7,351,967,1318,3080,910,58,1240,44.2,50.7
799,Jeff McInnis,576,15932,5396,2189,5081,43.1,305,929,32.8,713,896,79.6,243,927,1170,2514,371,31,789,46.1,49.3
800,Kelvin Ransey,474,11586,5380,2207,4861,45.4,20,152,13.2,946,1209,78.2,227,674,901,2480,472,34,958,45.6,49.9
801,Frank Brian,438,7616,5379,1765,5192,34,-,-,-,1849,2251,82.1,-,-,903,1138,-,-,-,34,43.5
802,Ed Pinckney,793,15695,5378,1915,3577,53.5,0,18,0,1548,2024,76.5,1487,2465,3952,727,612,435,845,53.5,60.2
803,Travis Best,708,15160,5376,2002,4642,43.1,266,772,34.5,1106,1324,83.5,230,1019,1249,2444,661,60,928,46,51.4
804,Nick Collison,910,18600,5359,2212,4146,53.4,21,101,20.8,914,1265,72.3,1766,2935,4701,939,446,469,878,53.6,57
805,Eddie House,717,12405,5356,2078,5077,40.9,817,2096,39,383,450,85.1,164,1059,1223,1112,470,58,569,49,50.8
806,Kris Humphries,800,14232,5350,2078,4486,46.3,55,188,29.3,1139,1626,70,1387,2927,4314,556,326,454,691,46.9,51.4
807,Brevin Knight,729,18176,5342,2019,4897,41.2,16,119,13.4,1288,1632,78.9,282,1503,1785,4481,1229,87,1367,41.4,47.6
808,Ollie Johnson,690,14554,5341,2235,4505,49.6,3,20,15,868,1049,82.7,599,1264,2280,1212,455,224,355,49.6,53.8
809,John Battle,612,10910,5338,2054,4430,46.4,62,227,27.3,1168,1472,79.3,178,646,824,1257,273,43,659,47.1,52.6
810,Shandon Anderson,719,15944,5327,1996,4366,45.7,307,972,31.6,1028,1392,73.9,583,1669,2252,1007,556,180,958,49.2,53.5
810,Anthony Morrow,564,12280,5327,1956,4380,44.7,807,1937,41.7,608,691,88,309,906,1215,494,317,75,380,53.9,56.9
812,Steve Stipanovich,403,12591,5323,2015,4160,48.4,10,56,17.9,1283,1611,79.6,771,2360,3131,938,415,380,777,48.6,54.7
813,John Clemens,790,12578,5316,2262,4989,45.3,-,-,-,792,1049,75.5,102,295,2526,904,131,11,-,45.3,48.8
814,Gene Banks,468,13074,5305,2134,3961,53.9,2,46,4.3,1035,1418,73,1009,1709,2718,1335,436,101,835,53.9,57.9
815,Bruce Bowen,873,24053,5290,1945,4761,40.9,818,2082,39.3,582,1013,57.5,469,1959,2428,1089,712,336,646,49.4,50.8
816,Travis Outlaw,622,13026,5273,1994,4713,42.3,344,1021,33.7,941,1265,74.4,480,1494,1974,514,331,381,512,46,50
817,Kyle Macy,551,14246,5259,2175,4339,50.1,192,568,33.8,717,821,87.3,311,903,1214,2198,631,49,712,52.3,55.9
818,Joe Bryant,606,12845,5252,2093,4648,45,23,115,20,1043,1404,74.3,825,1616,2441,1049,519,201,935,45.3,49.9
819,Al-Farouq Aminu,688,17264,5248,1910,4542,42.1,535,1597,33.5,893,1199,74.5,960,3210,4170,848,659,388,835,47.9,51.8
820,James Bailey,595,11625,5246,2045,4228,48.4,1,13,7.7,1155,1644,70.3,1010,1978,2988,488,305,521,1057,48.4,53
821,Derek Smith,408,9825,5232,2031,4074,49.9,45,153,29.4,1125,1495,75.3,476,824,1300,866,265,175,700,50.4,55.3
822,Shaun Livingston,833,17188,5231,2149,4419,48.6,13,73,17.8,920,1159,79.4,491,1498,1989,2483,586,311,1034,48.8,53.1
823,John Salley,748,16524,5228,1871,3697,50.6,3,14,21.4,1483,2076,71.4,1226,2130,3356,916,451,983,949,50.6,56.7
824,Mark Eaton,875,25169,5216,2072,4526,45.8,0,2,0,1072,1653,64.9,1857,5082,6939,840,368,3064,1293,45.8,49.6
825,Othella Harrington,709,13924,5212,2021,4001,50.5,0,11,0,1170,1585,73.8,1087,2043,3130,443,185,286,948,50.5,55.5
826,Eric Money,426,10827,5211,2239,4536,49.4,0,0,0,733,980,74.8,338,556,894,1623,524,62,712,49.4,52.5
827,Jason Thompson,588,14819,5210,2112,4255,49.6,6,42,14.3,980,1492,65.7,1264,2616,3880,635,283,414,747,49.7,53
828,Mitch Kupchak,510,9905,5202,2003,3832,52.3,0,4,0,1196,1698,70.4,963,1767,2730,377,164,176,682,52.3,56.8
829,Steven Adams,530,14208,5191,2157,3664,58.9,1,10,10,876,1573,55.7,1823,2206,4029,615,469,531,757,58.9,59.6
830,Draymond Green,576,16201,5170,1875,4307,43.5,521,1632,31.9,899,1267,71,648,3318,3966,2855,789,609,1187,49.6,53.1
830,Lucious Jackson,522,13783,5170,2004,4824,41.5,-,-,-,1162,1610,72.2,-,-,4613,818,-,-,-,41.5,46.7
832,Mike Sanders,648,12391,5162,2167,4499,48.2,19,86,22.1,809,1052,76.9,680,1247,1927,880,464,206,731,48.4,52
833,Jack George,506,15860,5153,1901,5226,36.4,-,-,-,1351,1918,70.4,-,-,2129,2169,-,-,-,36.4,42.4
